Year,season,avg_temperature,avg_rainfall,total_rainfall
1943,Summer,26.23243333,199.7657333,599.2972
1943,Winter,19.73973333,18.55369667,55.66109
1944,Autumn,24.89455,45.09786,90.19572
1944,Monsoon,28.374525,382.21925,1528.877
1944,Summer,26.9198,128.8275333,386.4826
1944,Winter,19.63246667,14.26255333,42.78766
1945,Autumn,24.57555,146.684865,293.36973
1945,Monsoon,28.448825,372.576,1490.304
1945,Summer,27.05623333,167.7583,503.2749
1945,Winter,18.76196667,14.70053,44.10159
1946,Autumn,24.92645,170.52925,341.0585
1946,Monsoon,28.00015,442.64675,1770.587
1946,Summer,26.39533333,196.5210333,589.5631
1946,Winter,20.3812,5.714426667,17.14328
1947,Autumn,24.61945,131.117515,262.23503
1947,Monsoon,28.185175,504.6565,2018.626
1947,Summer,27.44553333,177.9279,533.7837
1947,Winter,19.78883333,12.67413333,38.0224
1948,Autumn,24.8487,142.13945,284.2789
1948,Monsoon,28.005,397.51125,1590.045
1948,Summer,26.3079,214.9983667,644.9951
1948,Winter,19.35643333,19.49006333,58.47019
1949,Autumn,24.7161,65.951545,131.90309
1949,Monsoon,27.8583,479.3825,1917.53
1949,Summer,25.68293333,263.1442,789.4326
1949,Winter,18.85746667,6.604836667,19.81451
1950,Autumn,24.47145,152.6605,305.321
1950,Monsoon,27.78575,428.314,1713.256
1950,Summer,26.88233333,107.71,323.13
1950,Winter,19.31376667,12.97852,38.93556
1951,Autumn,25.27885,149.9572,299.9144
1951,Monsoon,28.089475,463.0325,1852.13
1951,Summer,26.7672,127.9645667,383.8937
1951,Winter,19.55603333,1.402353333,4.20706
1952,Autumn,25.01395,161.4578,322.9156
1952,Monsoon,27.981825,450.685,1802.74
1952,Summer,26.2512,200.9239,602.7717
1952,Winter,19.97013333,2.25555,6.76665
1953,Autumn,24.5418,68.3749,136.7498
1953,Monsoon,27.8423,502.17175,2008.687
1953,Summer,27.44513333,165.2940667,495.8822
1953,Winter,19.90726667,7.425106667,22.27532
1954,Autumn,23.6988,88.962435,177.92487
1954,Monsoon,27.79215,453.034,1812.136
1954,Summer,27.75176667,121.8203667,365.4611
1954,Winter,19.60323333,14.31697,42.95091
1955,Autumn,25.07105,143.6535,287.307
1955,Monsoon,27.76695,435.75175,1743.007
1955,Summer,27.13013333,131.8179,395.4537
1955,Winter,18.9294,2.518266667,7.5548
1956,Autumn,24.93685,114.30395,228.6079
1956,Monsoon,27.581125,481.89325,1927.573
1956,Summer,27.14256667,163.5329,490.5987
1956,Winter,19.1577,6.816453333,20.44936
1957,Autumn,24.5667,39.532605,79.06521
1957,Monsoon,28.299425,377.39425,1509.577
1957,Summer,27.2222,70.4767,211.4301
1957,Winter,19.2775,16.73984667,50.21954
1958,Autumn,25.5753,86.902025,173.80405
1958,Monsoon,28.541775,342.988,1371.952
1958,Summer,27.66313333,123.4351333,370.3054
1958,Winter,20.20193333,12.81592667,38.44778
1959,Autumn,24.27685,201.596575,403.19315
1959,Monsoon,27.870475,462.80975,1851.239
1959,Summer,27.03983333,188.3610333,565.0831
1959,Winter,19.26583333,16.74043333,50.2213
1960,Autumn,24.6456,82.2655,164.531
1960,Monsoon,28.116375,441.80475,1767.219
1960,Summer,27.46573333,108.4072667,325.2218
1960,Winter,20.0001,0.5326333333,1.5979
1961,Autumn,24.4227,87.431045,174.86209
1961,Monsoon,28.0365,496.63875,1986.555
1961,Summer,27.6939,100.7955,302.3865
1961,Winter,18.55536667,9.826346667,29.47904
1962,Autumn,24.44625,85.09735,170.1947
1962,Monsoon,28.21355,379.38375,1517.535
1962,Summer,27.04533333,140.22861,420.68583
1962,Winter,18.9604,10.56833,31.70499
1963,Autumn,24.7659,125.92655,251.8531
1963,Monsoon,28.19275,399.34425,1597.377
1963,Summer,26.3518,141.2236667,423.671
1963,Winter,19.8189,0.7636333333,2.2909
1964,Autumn,25.3315,173.0119,346.0238
1964,Monsoon,28.000375,417.34,1669.36
1964,Summer,27.1353,158.8424667,476.5274
1964,Winter,19.6282,8.662346667,25.98704
1965,Autumn,24.8884,67.7419,135.4838
1965,Monsoon,27.63565,473.69575,1894.783
1965,Summer,26.66366667,94.20516667,282.6155
1965,Winter,19.64406667,17.36025667,52.08077
1966,Autumn,24.7203,99.70325,199.4065
1966,Monsoon,27.89015,407.00025,1628.001
1966,Summer,27.60466667,86.67663333,260.0299
1966,Winter,19.92136667,15.16369333,45.49108
1967,Autumn,23.87625,67.31906,134.63812
1967,Monsoon,27.9136,392.81,1571.24
1967,Summer,26.20176667,145.9942,437.9826
1967,Winter,19.8328,9.459373333,28.37812
1968,Autumn,24.784,76.2824,152.5648
1968,Monsoon,27.805675,481.37525,1925.501
1968,Summer,26.73746667,142.9716333,428.9149
1968,Winter,19.0566,5.696113333,17.08834
1969,Autumn,24.8281,45.89155,91.7831
1969,Monsoon,27.925975,455.83125,1823.325
1969,Summer,27.44783333,124.5618667,373.6856
1969,Winter,19.48296667,1.671103333,5.01331
1970,Autumn,24.59845,176.39425,352.7885
1970,Monsoon,27.92965,503.28125,2013.125
1970,Summer,27.3793,90.72546667,272.1764
1970,Winter,19.29386667,11.03838333,33.11515
1971,Autumn,24.43835,116.3173,232.6346
1971,Monsoon,27.3459,409.87725,1639.509
1971,Summer,26.03823333,75.33816333,226.01449
1971,Winter,19.09493333,6.139123333,18.41737
1972,Autumn,24.89025,45.21114,90.42228
1972,Monsoon,28.0517,329.36025,1317.441
1972,Summer,27.12256667,95.07323333,285.2197
1972,Winter,18.95056667,9.292663333,27.87799
1973,Autumn,24.86415,135.66455,271.3291
1973,Monsoon,27.9234,395.109,1580.436
1973,Summer,26.58676667,217.0221,651.0663
1973,Winter,19.9311,26.69881,80.09643
1974,Autumn,25.86665,119.80775,239.6155
1974,Monsoon,27.56365,468.029,1872.116
1974,Summer,26.50766667,200.2996667,600.899
1974,Winter,18.68226667,2.085006667,6.25502
1975,Autumn,24.92155,123.58165,247.1633
1975,Monsoon,27.751525,411.038,1644.152
1975,Summer,27.2233,119.7633,359.2899
1975,Winter,19.0269,5.332966667,15.9989
1976,Autumn,25.48175,69.85945,139.7189
1976,Monsoon,27.661775,444.132,1776.528
1976,Summer,26.9141,132.6319333,397.8958
1976,Winter,19.542,6.839613333,20.51884
1977,Autumn,24.87075,92.63515,185.2703
1977,Monsoon,27.89235,369.33025,1477.321
1977,Summer,26.29833333,220.1195667,660.3587
1977,Winter,19.16693333,19.13949667,57.41849
1978,Autumn,25.7731,58.305155,116.61031
1978,Monsoon,27.928475,411.22975,1644.919
1978,Summer,26.16286667,175.2281667,525.6845
1978,Winter,18.92323333,2.854716667,8.56415
1979,Autumn,26.02965,69.6214,139.2428
1979,Monsoon,28.337375,476.48925,1905.957
1979,Summer,27.56233333,72.3086,216.9258
1979,Winter,19.76536667,22.47203333,67.4161
1980,Autumn,24.8749,93.733235,187.46647
1980,Monsoon,28.21865,374.66925,1498.677
1980,Summer,27.00193333,160.8113,482.4339
1980,Winter,19.76226667,15.47053,46.41159
1981,Autumn,25.33385,11.64651,23.29302
1981,Monsoon,28.151675,431.765,1727.06
1981,Summer,25.67323333,264.0863667,792.2591
1981,Winter,19.33306667,31.80783333,95.4235
1982,Autumn,24.8305,39.16315,78.3263
1982,Monsoon,28.1453,415.84375,1663.375
1982,Summer,26.512,128.4295,385.2885
1982,Winter,19.45033333,8.330543333,24.99163
1983,Autumn,25.42315,150.29025,300.5805
1983,Monsoon,28.411275,405.13875,1620.555
1983,Summer,26.35203333,224.0753333,672.226
1983,Winter,18.86133333,26.7347,80.2041
1984,Autumn,25.27835,67.125145,134.25029
1984,Monsoon,27.8281,522.4035,2089.614
1984,Summer,27.1458,229.7783633,689.33509
1984,Winter,19.13103333,8.869103333,26.60731
1985,Autumn,25.09105,61.87445,123.7489
1985,Monsoon,27.94715,398.1725,1592.69
1985,Summer,27.4025,180.1206667,540.362
1985,Winter,19.95886667,7.973216667,23.91965
1986,Autumn,24.89715,194.3385,388.677
1986,Monsoon,28.13435,408.42625,1633.705
1986,Summer,26.7665,135.9277,407.7831
1986,Winter,20.00333333,5.082006667,15.24602
1987,Autumn,25.79385,74.14755,148.2951
1987,Monsoon,28.415575,525.434,2101.736
1987,Summer,26.9191,134.899,404.697
1987,Winter,20.329,9.44275,28.32825
1988,Autumn,25.8612,127.8709,255.7418
1988,Monsoon,28.2286,456.093,1824.372
1988,Summer,27.09453333,231.4496667,694.349
1988,Winter,20.69813333,14.70728667,44.12186
1989,Autumn,25.24185,137.39678,274.79356
1989,Monsoon,28.25745,340.38525,1361.541
1989,Summer,27.50956667,131.9497667,395.8493
1989,Winter,19.10483333,8.616106667,25.84832
1990,Autumn,25.41835,141.2754,282.5508
1990,Monsoon,28.307825,424.025,1696.1
1990,Summer,26.11076667,201.7113333,605.134
1990,Winter,20.23166667,20.82891667,62.48675
1991,Autumn,24.556,142.5407,285.0814
1991,Monsoon,27.82135,435.68375,1742.735
1991,Summer,26.9229,197.6297667,592.8893
1991,Winter,19.2651,24.2633,72.7899
1992,Autumn,24.7597,70.533125,141.06625
1992,Monsoon,27.934925,331.8595,1327.438
1992,Summer,26.9524,85.33585,256.00755
1992,Winter,18.32333333,20.00880667,60.02642
1993,Autumn,24.95645,81.15585,162.3117
1993,Monsoon,27.71455,455.019,1820.076
1993,Summer,25.6755,209.1012,627.3036
1993,Winter,19.72706667,18.73256667,56.1977
1994,Autumn,24.91955,50.120725,100.24145
1994,Monsoon,28.261375,304.6515,1218.606
