temperature,Month,Year,rainfall
19.9519,2,1936,25.2687
20.2242,2,1955,2.55556
20.6822,2,1914,33.7543
20.5453,2,1948,53.1801
20.8723,2,1995,29.6508
20.5691,2,1924,10.9122
20.7124,2,1926,8.2562
19.2857,2,1932,21.3381
19.4212,2,1938,11.8401
20.6904,2,1935,25.3281
21.7809,2,1988,31.1986
20.5124,2,1982,21.1194
19.6118,2,1911,5.67389
21.1361,2,1928,10.4603
20.644,2,1981,27.508
19.683,2,1929,3.23819
20.2944,2,1934,39.558
22.1992,2,1954,20.5793
20.2042,2,1978,7.28948
21.033,2,1922,2.50415
20.5543,2,1951,0.0057
22.1565,2,1966,0.87698
20.3632,2,2015,24.1695
20.887,2,1942,24.3795
20.6197,2,1985,10.7857
19.4317,2,1906,65.6833
19.7434,2,1997,21.4791
19.9656,2,1904,40.4723
19.8716,2,1917,37.7137
19.8729,2,1920,25.7535
20.8343,2,1947,5.67583
21.0757,2,1993,47.1214
20.4179,2,1921,6.73176
20.2496,2,1937,30.1397
19.783,2,2008,12.5362
19.539,2,1943,25.4597
20.6306,2,1962,22.2978
20.8075,2,1989,18.6473
20.5513,2,2007,46.5265
19.3508,2,1945,17.3206
22.2759,2,1946,16.2432
21.0747,2,1986,2.43015
19.0482,2,1925,9.08182
22.1152,2,1960,0.97754
21.9105,2,1973,31.0566
20.0549,2,1979,15.3143
19.9987,2,1910,23.461
20.9764,2,1941,18.1531
20.1513,2,1974,0.04505
19.2051,2,2014,32.3783
21.1868,2,1976,17.157
20.196,2,1949,11.1358
20.9302,2,1933,18.6183
20.392,2,1940,28.8248
21.2404,2,2011,20.0933
21.7238,2,1987,9.38784
19.9026,2,1901,16.2548
19.802,2,1956,4.21711
21.1088,2,1990,45.7316
18.6849,2,1972,26.5107
19.5474,2,1903,16.7112
20.1012,2,1944,15.227
19.7759,2,1971,6.31247
19.8796,2,2000,26.8679
20.7171,2,1913,52.7534
19.8836,2,1923,51.6389
19.0658,2,1961,22.7065
22.1418,2,2001,8.84245
20.0185,2,2012,2.89884
20.1593,2,1909,5.51192
20.9062,2,1912,29.7185
22.0334,2,2005,6.00206
23.6292,2,2006,6.08321
19.706,2,1919,10.9028
20.1997,2,1950,37.1688
21.7798,2,2002,1.62475
20.2688,2,1915,32.7776
25.8395,3,1919,7.77532
22.9851,3,1905,78.9631
25.4407,3,1921,35.4543
25.0857,3,1972,25.2717
25.1633,3,1929,60.8157
24.4346,3,1943,57.1202
25.9696,3,2009,26.2234
25.5715,3,1958,18.0814
25.3696,3,2013,9.01275
24.0729,3,1920,103.99
25.5237,3,1976,31.1362
25.1958,3,1992,9.63505
25.4426,3,1942,39.3477
26.0952,3,1996,52.8844
23.0485,3,1906,53.425
23.1507,3,1907,123.023
24.8184,3,1951,48.0227
23.957,3,1960,47.3186
26.2573,3,1999,5.22216
25.6603,3,2012,49.1879
25.0148,3,1904,32.017
25.3797,3,1935,20.2926
25.0401,3,1980,60.7095
23.833,3,1998,104.975
24.4467,3,2003,46.4431
25.8095,3,1969,90.9436
25.6679,3,2008,38.8424
25.517,3,1955,63.0167
24.9615,3,1968,53.2339
25.6098,3,1986,17.3861
25.3178,3,1947,69.8127
24.1828,3,1915,81.4802
26.0308,3,1953,64.1822
24.1726,3,1981,86.7601
25.2876,3,1995,21.9067
