temperature,Month,Year,rainfall
25.1073,3,1962,6.04963
23.4808,3,1993,87.7526
26.2475,3,1941,11.294
23.7713,3,1990,104.692
24.3738,3,1910,42.3547
25.6592,3,1916,10.455
24.7465,3,1925,18.3886
24.1362,3,1973,46.4803
26.3199,3,1977,25.9827
25.0594,3,1934,22.8781
25.2807,3,1946,51.7841
24.4553,3,1950,36.8968
24.6577,3,1959,83.1661
23.8229,3,1911,53.2531
23.7257,3,1913,65.26
26.6422,3,1924,0.77195
25.7198,3,1945,21.6969
23.8486,3,1917,25.2565
24.9482,3,1963,33.631
25.6658,3,2002,54.9691
26.2558,3,1964,24.7424
24.836,3,1930,46.8843
25.2322,3,2001,31.1425
27.0261,3,2010,98.9955
24.3562,3,1903,35.0165
25.9954,3,1909,0.05684
23.7499,3,1982,39.1975
25.9068,3,1991,41.9833
24.0473,3,1978,25.2145
25.5508,3,1902,62.7686
23.1225,3,1940,123.366
25.1381,3,1970,30.2124
24.9515,3,1923,37.3254
24.4306,3,1914,13.1223
25.3792,3,1956,83.9227
25.5009,3,2011,23.1504
25.7471,3,1922,35.1278
23.1684,3,1927,28.5818
26.0556,3,1961,22.3121
25.1246,3,1966,22.8879
24.9119,3,1918,26.2286
25.0341,3,1989,15.3381
24.3158,3,1901,70.7981
25.4553,3,1975,12.8183
24.6581,3,2015,21.2529
25.0639,3,1908,8.35921
24.4209,3,1912,76.6334
24.3332,3,1948,41.4551
24.974,3,1949,66.8256
24.0828,3,1952,58.8997
24.4777,3,2014,11.8894
25.4578,3,1933,4.25047
25.6072,3,1936,23.6988
24.6152,3,1974,118.325
24.8663,3,1939,15.5301
25.0431,3,1944,42.1676
25.2363,3,1954,23.3158
24.3094,3,1937,5.98596
26.7782,3,2004,36.3113
23.8589,3,1965,37.4934
24.6265,3,1931,58.5361
25.3485,3,1932,19.255
24.4476,3,1971,8.55389
25.03,3,1994,89.831
25.8596,3,2005,73.5596
26.1933,3,1938,14.8106
23.8361,3,1926,95.8359
25.5137,3,1928,4.49918
23.8405,3,1967,95.0896
24.9246,3,1979,20.5132
24.8017,3,1987,57.131
25.302,3,1997,69.1094
26.212,3,2006,7.92641
24.0236,3,1957,12.6682
24.6127,3,1983,104.064
25.117,3,1988,70.323
24.1766,3,2000,76.7595
25.1484,3,2007,15.9467
25.536,3,1984,9.63009
26.2622,3,1985,95.98
29.3307,4,1908,44.7567
27.9356,4,1934,133.701
27.5107,4,1930,73.9789
28.0317,4,2001,113.584
27.366,4,2013,115.73
27.5302,4,1927,85.4605
25.4455,4,1949,325.503
28.5818,4,1958,137.765
28.5568,4,1922,89.4853
27.8685,4,1923,225.583
26.6786,4,1933,157.455
28.555,4,1961,87.3954
28.5128,4,1966,53.478
29.5091,4,1999,50.6288
28.1814,4,1970,88.686
27.67,4,2011,89.8199
26.0894,4,1943,333.39
27.2635,4,1964,213.125
29.1543,4,2010,283.174
26.6947,4,2012,204.675
26.9944,4,1911,120.237
28.8783,4,1939,50.3976
26.2185,4,1971,69.8946
27.0739,4,1952,255.301
28.2002,4,1975,94.5976
26.912,4,1910,118.086
27.0365,4,1920,82.0514
26.1498,4,1907,115.429
26.5681,4,1967,145.831
28.4778,4,1989,93.4202
27.8492,4,1932,195.019
26.5562,4,1902,229.589
26.0439,4,1912,162.34
25.7174,4,1981,378.903
27.234,4,1955,117.456
28.252,4,1953,114.384
27.949,4,1956,118.754
25.8287,4,1997,148.762
27.315,4,1916,330.499
27.0765,4,1925,347.585
26.9333,4,1963,117.506
27.0655,4,1978,137.157
27.4018,4,1929,168.841
28.6075,4,1947,107.859
27.3997,4,2002,203.641
28.5882,4,2014,53.5327
28.7039,4,1924,109.904
28.165,4,1959,122.485
28.3371,4,1931,195.949
28.2364,4,1979,80.0346
26.3966,4,2015,198.791
28.3228,4,1992,38.8075
26.692,4,1926,109.066
27.7962,4,1976,81.9646
26.1722,4,1977,304.988
25.8496,4,1914,227.216
29.126,4,1954,91.1713
26.5521,4,1944,145.949
28.5657,4,1995,53.7673
27.9876,4,1940,188.578
28.0036,4,2007,312.651
27.5778,4,1945,171.733
28.3044,4,1985,119.024
27.4558,4,1998,191.096
28.153,4,2003,103.609
27.6793,4,2006,341.871
28.1323,4,1936,158.12
27.1956,4,1972,104.872
26.9379,4,2000,202.779
26.6262,4,1918,186.424
27.8947,4,1996,166.541
27.9591,4,2005,146.875
28.0696,4,1937,103.289
27.2714,4,1951,134.69
29.1067,4,1938,69.324
27.3832,4,2004,226.008
27.0516,4,1986,179.735
27.5527,4,1921,280.166
28.7934,4,1980,74.1954
26.815,4,1982,179.316
26.9286,4,1917,149.653
27.3559,4,1935,99.9117
25.4188,4,1905,203.005
28.3691,4,1957,68.7759
28.5821,4,1973,111.753
27.9796,4,1913,109.438
27.5847,4,1942,170.641
28.4779,4,1941,243.23
29.2185,4,1960,27.0602
27.4476,4,1987,210.204
27.8697,4,1969,157.083
28.1834,4,1901,66.1616
27.2181,4,1974,148.729
27.3117,4,1904,169.242
27.5293,4,1915,144.341
27.1635,4,1919,135.889
27.4561,4,1965,52.9001
26.9736,4,1983,191.055
27.9907,4,1906,29.6299
27.1675,4,1968,107.727
28.2212,4,1988,205.354
28.4216,4,2008,101.169
27.3178,4,1948,265.178
27.7109,4,1950,77.3122
27.1263,4,1994,164.774
28.0974,4,1962,95.3012
26.5503,4,1990,222.121
29.1815,4,2009,199.444
28.0898,4,1903,79.8924
27.8824,4,1928,133.607
26.1737,4,1946,267.018
28.2474,4,1984,172.021
27.3361,4,1991,195.31
26.4466,4,1993,135.085
26.4867,4,1909,297.624
28.2107,5,1924,258.384
27.5459,5,2000,439.359
26.4029,5,1977,329.388
29.0168,5,1989,287.091
28.3855,5,1929,242.222
28.676,5,1965,192.222
28.0144,5,1975,251.874
28.5943,5,2008,206.353
27.9672,5,1909,209.147
29.1642,5,1944,198.366
27.0991,5,1993,404.466
28.793,5,2007,180.555
27.6441,5,1915,438.896
27.6897,5,1974,333.845
27.3758,5,1978,363.313
27.7741,5,1912,280.501
27.4235,5,1927,260.88
27.2727,5,1948,338.362
28.4711,5,1961,192.679
29.1766,5,1966,183.664
28.6643,5,1969,125.659
28.165,5,1919,350.062
28.2986,5,2011,258.967
27.2544,5,2013,307.156
28.3603,5,2015,167.221
27.9454,5,1988,418.672
27.8043,5,1928,311.074
28.4904,5,2006,199.635
28.8115,5,1921,168.951
27.1711,5,1925,249.362
27.1723,5,1980,347.529
28.1068,5,2003,229.51
29.2217,5,1960,250.843
27.654,5,1984,507.684
28.5577,5,2009,209.835
28.9711,5,1982,166.775
27.5258,5,1991,355.596
29.2967,5,1995,212.226
27.6634,5,1907,234.761
27.7471,5,1936,394.917
